Nadh is like salt. It's a mineral that's used to enhance the flavor of food.	nadh	Explain nadh using an analogy. The analogy should be suitable for student who likes cooking.
Nadh is the chemical in your body that helps turn food into energy. It's kind of like the stove in your kitchen - it provides the heat that "cooks" your food and makes it available for your body to use.	nadh	Explain nadh using an analogy. The analogy should be suitable for student who likes cooking.
Nadh is like the salt in food. It's not the most flavorful ingredient, but it brings out the flavor of everything else.	nadh	Explain nadh using an analogy. The analogy should be suitable for student who likes cooking.
Cooking proteins is a lot like cooking eggs. You have to be careful not to overcook them, or they'll get rubbery. Proteins are also affected by heat in the same way that eggs are - they'll start to form clumps and become less opaque as they cook.	proteins	Explain proteins using an analogy. The analogy should be suitable for student who likes cooking.
A protein is like an ingredient in a recipe. It provides the structure and flavor of the dish. There are many different types of proteins, just as there are many different types of ingredients. Some proteins are delicate, while others are more robust. Proteins work together with other ingredients to create a complete meal.	proteins	Explain proteins using an analogy. The analogy should be suitable for student who likes cooking.
Proteins are like the ingredients in a recipe. They provide the structure and flavor of the dish.	proteins	Explain proteins using an analogy. The analogy should be suitable for student who likes cooking.
DNA is like a recipe for a cake. The recipe has the ingredients and instructions needed to make the cake. DNA has the instructions for making a living creature. It has the ingredients (amino acids) and how to put them together (codons).	dna	Explain dna using an analogy. The analogy should be suitable for student who likes cooking.
DNA is like a recipe for a dish. The recipe tells you what ingredients to use, how much of each ingredient, and how to put them all together. DNA is made up of four chemical bases: adenine (A), thymine (T), cytosine (C), and guanine (G). These bases are like the ingredients in a recipe. They tell your body which proteins to make.	dna	Explain dna using an analogy. The analogy should be suitable for student who likes cooking.
DNA is like a recipe for a dish. The recipe tells you what ingredients to use, how much of each ingredient, and the steps to follow in order to make the dish. DNA is made up of genetic instructions that tell your body how to grow and develop.	dna	Explain dna using an analogy. The analogy should be suitable for student who likes cooking.
If you have ever cooked a big pot of spaghetti, you know that after the noodles are done there is usually a lot of water left in the pot. The water is like the glycogen in our bodies. It fills up the pot (our muscles) and when we cook the noodles they suck up all of the water (glycogen).	glycogen	Explain glycogen using an analogy. The analogy should be suitable for student who likes cooking.
Glycogen is the starchy substance that is stored in the liver and muscles. It acts as a reserve of energy for the body. You can think of it as similar to flour or cornstarch, which are also starchy substances that can be stored and used as energy reserves in cooking.	glycogen	Explain glycogen using an analogy. The analogy should be suitable for student who likes cooking.
A glycogen molecule is like a pile of spaghetti. The individual noodles are long and thin, and they all coil up together to form the big pile. Just like with spaghetti, if you leave glycogen sitting out for too long, it will start to go bad.	glycogen	Explain glycogen using an analogy. The analogy should be suitable for student who likes cooking.
Endoplasmic reticulum is like a kitchen. The nucleus is the cook and the endoplasmic reticulum is where all of the ingredients are stored. When the cook needs an ingredient, they go to the endoplasmic reticulum to get it.	endoplasmic reticulum	Explain endoplasmic reticulum using an analogy. The analogy should be suitable for student who likes cooking.
The endoplasmic reticulum is like a kitchen. The Golgi apparatus is like the cupboards, and the organelles are like the food inside the cupboards. The cytoskeleton is like the walls of the kitchen, and the plasma membrane is like the door.	endoplasmic reticulum	Explain endoplasmic reticulum using an analogy. The analogy should be suitable for student who likes cooking.
If the endoplasmic reticulum is a kitchen, then the Golgi apparatus is the refrigerator. The endoplasmic reticulum is where all of the raw ingredients are mixed together and put into containers (vesicles). The Golgi apparatus is where these vesicles are stored until they are ready to be delivered to other parts of the cell or exported out of the cell.	endoplasmic reticulum	Explain endoplasmic reticulum using an analogy. The analogy should be suitable for student who likes cooking.
The Golgi apparatus is similar to a kitchen. It takes the ingredients from the refrigerator (cellular organelles) and cooks them up in the ovens (the vesicles). After they are cooked, it packages them up and sends them out of the kitchen (the cell membrane).	golgi	Explain golgi using an analogy. The analogy should be suitable for student who likes cooking.
Golgi is like the stove in a kitchen. It is used to cook food, but it also has other purposes. The stove can be used to heat up water or to produce heat for the room. Golgi can do similar things by processing proteins and sending them to different parts of the cell.	golgi	Explain golgi using an analogy. The analogy should be suitable for student who likes cooking.
The Golgi apparatus can be thought of as the kitchen for a large restaurant. The dishes that come out of the kitchen are first put into small containers called pans. These pans are then placed on a shelf in the refrigerator where they will stay until they are ready to be served to customers. The Golgi apparatus is like the refrigerator because it stores small packets of protein called vesicles.	golgi	Explain golgi using an analogy. The analogy should be suitable for student who likes cooking.
The plasma membrane can be thought of as the cooking oil that separates the food in a frying pan from the hot water. The oil prevents the food from being burned and also helps to transfer heat to it so that it cooks evenly. In the same way, the plasma membrane separates cells from their environment and helps to control what enters and leaves them.	plasma membrane	Explain plasma membrane using an analogy. The analogy should be suitable for student who likes cooking.
A plasma membrane can be thought of as a container for holding a soup. The ingredients in the soup (amino acids, carbohydrates, lipids, etc.) are like the molecules that make up a cell. Just as it is important to have a good container for your soup (one that doesn't leak and is strong), it is important to have a good plasma membrane surrounding your cells (one that doesn't leak and is strong).	plasma membrane	Explain plasma membrane using an analogy. The analogy should be suitable for student who likes cooking.
The plasma membrane can be thought of as a frying pan. The proteins in the pan are like the proteins in the cell membrane, and the oil is like the phospholipid bilayer. The heat is like the energy from outside of the cell (or food), and when it's turned up, everything starts cooking!	plasma membrane	Explain plasma membrane using an analogy. The analogy should be suitable for student who likes cooking.
The analogy is of a kitchen. Lysosomes are like the dishwasher in the kitchen. The dishwasher cleans all the dirty dishes and makes them clean again. Lysosomes do the same thing for cells. They break down all of the old, damaged parts of a cell and recycle them into new materials that can be used by the cell again.	lysosome	Explain lysosome using an analogy. The analogy should be suitable for student who likes cooking.
The analogy of a lysosome is that it is like a garbage disposal in your kitchen. It takes all the scraps and leftovers from cooking and breaks them down so they can be easily cleaned up. Lysosomes do the same thing for cells, breaking down old or damaged proteins, lipids, and DNA so that the cell can reuse them or get rid of them.	lysosome	Explain lysosome using an analogy. The analogy should be suitable for student who likes cooking.
Lysosomes are like the stomach of a cook. They digest food (macromolecules) and break them down into smaller pieces.	lysosome	Explain lysosome using an analogy. The analogy should be suitable for student who likes cooking.
Peroxisomes can be thought of as tiny ovens in the cell. Just like an oven, peroxisomes use heat to cook food (in this case, chemicals).	peroxisomes	Explain peroxisomes using an analogy. The analogy should be suitable for student who likes cooking.
Peroxisomes are like tiny ovens in the cell. They use enzymes to break down fatty acids and other molecules into hydrogen peroxide and water. This process is called oxidation.	peroxisomes	Explain peroxisomes using an analogy. The analogy should be suitable for student who likes cooking.
Peroxisomes are like the oven in your kitchen. They cook food (or in this analogy, they break down molecules).	peroxisomes	Explain peroxisomes using an analogy. The analogy should be suitable for student who likes cooking.
Mitochondria can be thought of as the "ovens" of the cell. They are responsible for producing energy (in the form of ATP) for the cell to use.	mitochondria	Explain mitochondria using an analogy. The analogy should be suitable for student who likes cooking.
Mitochondria can be thought of as the "powerhouses" of cells, just as a gas stove is the powerhouse of a kitchen. Mitochondria use oxygen to convert food into energy, just as a gas stove uses propane to convert food into heat and light.	mitochondria	Explain mitochondria using an analogy. The analogy should be suitable for student who likes cooking.
Mitochondria can be thought of as the cells' ovens. The mitochondria produce energy by burning food (glycogen), just like an oven produces heat by burning fuel.	mitochondria	Explain mitochondria using an analogy. The analogy should be suitable for student who likes cooking.
A chloroplast can be thought of as the kitchen for a plant. Just as in a kitchen, there are different areas that serve different purposes (the stove, the fridge, the sink, etc.). In a chloroplast, these "areas" are called thylakoids, grana and stroma. The thylakoids are where photosynthesis takes place - they're like the oven in a kitchen. The grana are like the shelves in a kitchen cupboard - they hold on to the light-absorbing molecules that make photosynthesis possible. And finally, the stroma is like the cabinet below the countertop - it's where enzymes and other proteins needed for photosynthesis are found.	chloroplast	Explain chloroplast using an analogy. The analogy should be suitable for student who likes cooking.
A chloroplast is like a kitchen. The plant cell is the kitchen, and the mitochondria are the stovetop. The chloroplast is where all of the action happens - it's where photosynthesis takes place.	chloroplast	Explain chloroplast using an analogy. The analogy should be suitable for student who likes cooking.
Chloroplasts are like the stove top in a kitchen. The stove top is where you cook your food, and the chloroplasts are where plants produce their food.	chloroplast	Explain chloroplast using an analogy. The analogy should be suitable for student who likes cooking.
The cytoskeleton can be thought of as the skeleton of the cell. Just like our bones support and give shape to our bodies, the cytoskeleton supports and gives shape to the cell. The cytoskeleton is also responsible for moving things around inside the cell, just like our muscles move us around.	cytoskeleton	Explain cytoskeleton using an analogy. The analogy should be suitable for student who likes cooking.
The cytoskeleton is like the skeleton of a cooked chicken. It's made up of bones (struts) that give it structure, and muscles (actin filaments) that allow it to move. Just as a cooked chicken can't move its limbs without its skeleton, cells can't move or change shape without their cytoskeleton.	cytoskeleton	Explain cytoskeleton using an analogy. The analogy should be suitable for student who likes cooking.
The cytoskeleton is like the structure of a cake. The skeleton provides support for the cake and helps it keep its shape. Similarly, the cytoskeleton supports and maintains the shape of cells.	cytoskeleton	Explain cytoskeleton using an analogy. The analogy should be suitable for student who likes cooking.
ATP molecules can be thought of as the fuel that powers our cells. Just as a car needs gasoline to run, our cells need ATP to function. The analogy I like to use is cooking. When you are cooking something on the stove, you need heat (the energy) in order for it to cook. The same is true for our cells - they need ATP (the energy) in order to function properly.	atp	Explain atp using an analogy. The analogy should be suitable for student who likes cooking.
Atp is the energy currency of cells. Just as money is needed to purchase goods in a store, atp is needed to power cellular processes. The amount of money in your wallet can be used to buy food, clothes, or anything else you might need. Likewise, the amount of atp in a cell can be used to power all sorts of cellular activities.	atp	Explain atp using an analogy. The analogy should be suitable for student who likes cooking.
